"1","Dr. Kiran Kumar","Pediatrics","Chennai","Tamil Nadu"
"2","Dr. Sunita Reddy","Urology","Pune","Maharashtra"
"3","Dr. Anita Singh","Urology","Kolkata","West Bengal"
"4","Dr. Anita Reddy","Orthopedics","Lucknow","Uttar Pradesh"
"5","Dr. Meena Patel","Gynecology","Bengaluru","Karnataka"
"6","Dr. Sunil Chopra","General Medicine","Ahmedabad","Gujarat"
"7","Dr. Priya Iyer","Orthopedics","Ahmedabad","Gujarat"
"8","Dr. Vijay Sharma","Pediatrics","Mumbai","Maharashtra"
"9","Dr. Ritu Chopra","Gynecology","Jaipur","Rajasthan"
"10","Dr. Meena Chopra","Cardiology","Lucknow","Uttar Pradesh"
"11","Dr. Meena Patel","Oncology","Hyderabad","Telangana"
"12","Dr. Kiran Verma","Gastroenterology","Lucknow","Uttar Pradesh"
"13","Dr. Ritu Sharma","Pulmonology","Pune","Maharashtra"
"14","Dr. Shreya Patel","Psychiatry","Jaipur","Rajasthan"
"15","Dr. Rohit Singh","Psychiatry","Kolkata","West Bengal"
"16","Dr. Sunil Patel","Psychiatry","Ahmedabad","Gujarat"
"17","Dr. Amit Reddy","General Medicine","Kolkata","West Bengal"
"18","Dr. Anita Reddy","Orthopedics","Pune","Maharashtra"
"19","Dr. Rohit Iyer","Pediatrics","Kolkata","West Bengal"
"20","Dr. Kavita Yadav","Psychiatry","Kolkata","West Bengal"
"21","Dr. Rohit Kumar","Dermatology","Chennai","Tamil Nadu"
"22","Dr. Sunita Das","Pulmonology","Chennai","Tamil Nadu"
"23","Dr. Sunita Reddy","Orthopedics","Ahmedabad","Gujarat"
"24","Dr. Anil Verma","Orthopedics","Mumbai","Maharashtra"
"25","Dr. Amit Sharma","Urology","Bengaluru","Karnataka"
"26","Dr. Shreya Das","Oncology","Pune","Maharashtra"
"27","Dr. Meena Das","Pulmonology","Pune","Maharashtra"
"28","Dr. Vijay Chopra","Cardiology","Jaipur","Rajasthan"
"29","Dr. Amit Das","Urology","Pune","Maharashtra"
"30","Dr. Vijay Singh","Orthopedics","Pune","Maharashtra"
"31","Dr. Amit Singh","General Medicine","Mumbai","Maharashtra"
"32","Dr. Rohit Das","Pediatrics","Lucknow","Uttar Pradesh"
"33","Dr. Prakash Iyer","Cardiology","Mumbai","Maharashtra"
"34","Dr. Anil Patel","Orthopedics","Bengaluru","Karnataka"
